
event-logger:/media/pau/bidea/integracion/components/event-logger/package.json |versionInPackageJson |localVersion |Check     |
@ikusi/lib-bidea-core-integration                                              |4.1.0                |4.3.0        |✕         |
@ikusi/lib-bidea-core-integration-kafka-js                                     |1.2.0                |1.2.1        |✕         |
@ikusi/lib-bidea-core-message-builder                                          |1.1.0                |1.6.4        |✕         |

forward-integration:/media/pau/bidea/forward-integration/package.json |versionInPackageJson |localVersion |Check     |
@ikusi/forward-data-access                                            |5.2.1-next.0         |5.2.1-next.0 |✓         |
@ikusi/lib-bidea-core-integration                                     |4.2.0                |4.3.0        |✕         |
@ikusi/lib-surgery-dto                                                |7.1.0                |7.3.4        |✕         |
@ikusi/lib-bidea-core-message-builder                                 |1.6.4                |1.6.4        |✓         |
@ikusi/lib-common-dto                                                 |7.0.1                |7.1.2        |✕         |
@ikusi/lib-bidea-core-integration-kafka-js                            |1.2.0                |1.2.1        |✕         |

@ikusi/lib-rtls-dto:/media/pau/bidea/integracion/libs/lib-rtls-dto/package.json |versionInPackageJson |localVersion |Check     |
@ikusi/lib-bidea-core-integration                                               |1.5.1                |4.3.0        |✕         |
@ikusi/lib-common-dto                                                           |5.2.0                |7.1.2        |✕         |

@ikusi/lib-mirth-data-comparator:/media/pau/bidea/integracion/libs/lib-mirth-data-comparator/package.json |versionInPackageJson |localVersion |Check     |
@ikusi/lib-surgery-dto                                                                                    |4.1.1                |7.3.4        |✕         |
@ikusi/lib-bidea-core-message-builder                                                                     |1.4.0                |1.6.4        |✕         |
@ikusi/lib-bidea-core-integration                                                                         |4.2.0                |4.3.0        |✕         |
@ikusi/lib-common-dto                                                                                     |5.0.0                |7.1.2        |✕         |

frontend-management:/media/pau/bidea/resources-management/web-components/frontend-management/package.json |versionInPackageJson |localVersion |Check     |
@ikusi/forward-api-typescript-fetch                                                                       |8.0.11               |9.2.3-next.0 |✕         |
@ikusi/surgery-reporting                                                                                  |1.1.0                |1.1.0        |✓         |

